Invoice Date,Event,Event Date,Event Time,Section,Row,Ticket Qty,Sold Price
9/19/2023 10:10:11 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,118,35,2,529
8/30/2023 5:41:13 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,144,34,2,478
8/30/2023 10:41:20 AM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,106,31,2,549
9/11/2023 5:42:58 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,139,32,2,568.21
9/12/2023 7:11:21 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,338,12,2,557.87
9/1/2023 3:30:40 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,312,12,2,487.77
9/22/2023 12:07:54 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,310,13,2,409
9/3/2023 3:13:40 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,338,12,2,509
9/20/2023 6:01:03 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,102,36,2,396.1
9/9/2023 4:10:13 PM -04:00,Las Vegas Raiders vs. New York Jets,11/12/23 0:00,17:20:00,309,10,2,394.91
9/11/2023 6:43:28 AM -04:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,338,12,2,485.41
8/28/2023 9:09:20 PM -04:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,410,12,2,279
9/7/2023 12:55:20 PM -04:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,435,9,2,279
9/30/2023 8:05:15 PM -04:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,324,15,2,289
10/13/2023 4:10:20 PM -04:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,117,32,2,479
10/17/2023 3:46:45 PM -04:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,C114,32,2,734.77
11/14/2023 7:22:42 PM -05:00,Las Vegas Raiders vs. Minnesota Vikings,12/10/23 0:00,13:05:00,C110,31,2,734.77
